"notes","hqCity","keywords","hqCountry","hqProvince","qualityFlags","sourceOrigin","sourceUrl","themes","primaryTheme","confidenceScore","seedBatchId","hqRegion","industrySectorsDerivedReasons","sectorSynonymsUsed","geoScope","lastVerifiedAt","website","entityType","synonyms","themeConfidence","industryLabel","tags","industrySectors","domain","name","normalizedName","id","created_date","updated_date","created_by_id","created_by","is_sample"
"PME spécialisée en solutions de cybersécurité cloud pour les entreprises du Grand Montréal.","Laval","[]","CA","QC","[]","IMPORT","https://securecloudtech.ca","[""sécurité"", ""cloud computing"", ""technologies""]","Cybersécurité","78","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://securecloudtech.ca","company","[]","0.9","Technologies & IA","[]","[""cybersécurité"", ""cloud"", ""logiciels d'entreprise""]","securecloudtech.ca","SecureCloud Tech","securecloud tech","0fb612a5a1b44ad79b659528","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise développant des robots autonomes pour la gestion durable des ressources naturelles.","Québec City","[]","CA","QC","[]","IMPORT","https://greenwaverobotics.qc.ca","[""technologies"", ""robotique"", ""environnement""]","Robotique & automatisation","77","KB_QC_ENRICHMENT_2026","QC_OTHER","[]","[]","QC_OTHER","","https://greenwaverobotics.qc.ca","company","[]","0.8","Technologies & IA","[]","[""robotique"", ""cleantech"", ""automatisation""]","greenwaverobotics.qc.ca","GreenWave Robotics","greenwave robotics","1a96010e9479433181bd665e","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup SaaS proposant une plateforme d'apprentissage adaptatif basée sur l'intelligence artificielle.","Montréal","[]","CA","QC","[]","IMPORT","https://edusmartapp.com","[""technologies"", ""éducation"", ""IA""]","EdTech","79","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://edusmartapp.com","company","[]","0.85","Technologies & IA","[]","[""edtech"", ""SaaS"", ""intelligence artificielle""]","edusmartapp.com","EduSmart SaaS","edusmart saas","ed2c5c3bba6d412c90e86711","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Scale-up offrant des solutions blockchain sécurisées pour les institutions financières du Québec.","Longueuil","[]","CA","QC","[]","IMPORT","https://blocksecuresolutions.ca","[""technologies"", ""blockchain"", ""sécurité""]","Blockchain & cybersécurité","82","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://blocksecuresolutions.ca","company","[]","0.88","Technologies & IA","[]","[""blockchain"", ""cybersécurité"", ""fintech""]","blocksecuresolutions.ca","BlockSecure Solutions","blocksecure solutions","a7916e384405429d8f0824a3","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup spécialisée en intelligence artificielle appliquée à l'analyse neurologique et aux diagnostics médicaux avancés.","Montréal","[]","CA","QC","[]","IMPORT","https://neuroquantix.com","[""Technologies & IA"", ""deeptech"", ""biotechnologie""]","IA","80","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://neuroquantix.com","company","[]","0.8","Technologies & IA","[]","[""Technologies & IA"", ""deeptech"", ""santé""]","neuroquantix.com","NeuroQuantix AI","neuroquantix ai","4b8544b4736e401783167d18","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise offrant des solutions de cybersécurité innovantes basées sur l'IA pour protéger les infrastructures critiques et les données des entreprises.","Laval","[]","CA","QC","[]","IMPORT","https://clearpathcyberdefense.ca","[""cybersécurité"", ""IA"", ""cloud""]","cybersécurité","85","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://clearpathcyberdefense.ca","company","[]","0.85","Technologies & IA","[]","[""Technologies & IA"", ""cybersécurité"", ""logiciels d'entreprise""]","clearpathcyberdefense.ca","ClearPath Cyber Defense","clearpath cyber defense","48c5105c47b9432395467305","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup SaaS focalisée sur les solutions éducatives personnalisées par intelligence artificielle pour institutions scolaires et entreprises formatrices.","Montréal","[]","CA","QC","[]","IMPORT","https://edusagetech.qc.ca","[""éducation"", ""SaaS"", ""IA""]","edtech","75","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://edusagetech.qc.ca","company","[]","0.75","Technologies & IA","[]","[""Technologies & IA"", ""edtech"", ""SaaS""]","edusagetech.qc.ca","EduSage Technologies","edusage technologies","e2686eb69a8141b48ac97ace","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise développant des robots autonomes pour la gestion et la maintenance écologique de sites industriels et agricoles.","Québec City","[]","CA","QC","[]","IMPORT","https://greenlogicrobotics.com","[""robotique"", ""automatisation"", ""environnement""]","robotique","80","KB_QC_ENRICHMENT_2026","QC_OTHER","[]","[]","QC_OTHER","","https://greenlogicrobotics.com","company","[]","0.8","Technologies & IA","[]","[""Technologies & IA"", ""robotique"", ""cleantech""]","greenlogicrobotics.com","GreenLogic Robotics","greenlogic robotics","844a8cde7da640d6aadd6a00","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Scale-up spécialisée dans les plateformes blockchain sécurisées pour les transactions financières et la gestion d’actifs numériques.","Longueuil","[]","CA","QC","[]","IMPORT","https://blockvista.io","[""blockchain"", ""fintech"", ""sécurité""]","blockchain","78","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://blockvista.io","company","[]","0.78","Technologies & IA","[]","[""Technologies & IA"", ""blockchain"", ""fintech""]","blockvista.io","BlockVista Solutions","blockvista solutions","50e08ba8077b4362b77a54c7","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup qui développe des solutions d’IA avancée pour l’analyse neurocognitive dans les secteurs santé et éducation.","Montréal","[]","CA","QC","[]","IMPORT","https://neurolytixai.com","[""Technologies & IA"", ""neurosciences"", ""machine learning""]","Technologies & IA","85","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://neurolytixai.com","company","[]","0.85","Technologies & IA","[]","[""Technologies & IA"", ""deeptech"", ""IA""]","neurolytixai.com","Neurolytix AI","neurolytix ai","9ececbdd9af4433eb223d565","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise spécialisée dans la détection d’intrusions et la prévention en environnement cloud pour PME et grandes entreprises.","Laval","[]","CA","QC","[]","IMPORT","https://cloudsecureinsights.ca","[""Technologies & IA"", ""sécurité informatique"", ""cloud computing""]","cybersécurité","90","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://cloudsecureinsights.ca","company","[]","0.9","Technologies & IA","[]","[""Technologies & IA"", ""cybersécurité"", ""cloud""]","cloudsecureinsights.ca","CloudSecure Insights","cloudsecure insights","1093b06f5ba5447bb0741875","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Scale-up développant une plateforme SaaS d’apprentissage intelligent et adaptatif pour les institutions éducatives.","Montréal","[]","CA","QC","[]","IMPORT","https://eduvizo.tech","[""Technologies & IA"", ""éducation numérique"", ""apprentissage adaptatif""]","edtech","80","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://eduvizo.tech","company","[]","0.8","Technologies & IA","[]","[""Technologies & IA"", ""edtech"", ""logiciels d'entreprise""]","eduvizo.tech","EduVizo Technologies","eduvizo technologies","f85441f6ec8745e99ec78ea3","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup innovante proposant une plateforme blockchain sécurisée pour la gestion et la transaction d’actifs immobiliers.","Longueuil","[]","CA","QC","[]","IMPORT","https://propchainsolutions.com","[""Technologies & IA"", ""immobilier"", ""blockchain""]","proptech","78","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://propchainsolutions.com","company","[]","0.78","Technologies & IA","[]","[""Technologies & IA"", ""proptech"", ""blockchain""]","propchainsolutions.com","PropChain Solutions","propchain solutions","ed2008ba98754fbc85d9deff","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise spécialisée dans le développement de robots autonomes pour l’industrie manufacturière et la logistique.","Québec City","[]","CA","QC","[]","IMPORT","https://innoroboticsqc.ca","[""Technologies & IA"", ""robotique industrielle"", ""IA""]","robotique","82","KB_QC_ENRICHMENT_2026","QC_OTHER","[]","[]","QC_OTHER","","https://innoroboticsqc.ca","company","[]","0.82","Technologies & IA","[]","[""Technologies & IA"", ""robotique"", ""automatisation""]","innoroboticsqc.ca","InnoRobotics Québec","innorobotics quebec","028783ed8dc74056b9f73243","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup spécialisée dans le développement d'algorithmes IA inspirés des neuroconnexions pour des applications médicales et cognitives.","Montréal","[]","CA","QC","[]","IMPORT","https://neurosynapseai.com","[""IA"", ""Deep Learning"", ""Neurosciences""]","Intelligence artificielle","80","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://neurosynapseai.com","company","[]","0.85","Technologies & IA","[""startup"", ""deeptech""]","[""Technologies & IA"", ""IA"", ""Deeptech""]","neurosynapseai.com","NeuroSynapse AI","neurosynapse ai","488c5efc1c0d492291e208f4","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise offrant des solutions SaaS innovantes de cybersécurité pour PME et grandes entreprises, spécialisées dans la détection proactive des menaces.","Laval","[]","CA","QC","[]","IMPORT","https://cybersentineltech.ca","[""Cybersécurité"", ""Protection des données"", ""SaaS""]","Cybersécurité","78","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://cybersentineltech.ca","company","[]","0.8","Technologies & IA","[""scale-up"", ""cybersécurité""]","[""Technologies & IA"", ""Cybersécurité"", ""SaaS""]","cybersentineltech.ca","CyberSentinel Technologies","cybersentinel technologies","82b22b533d72491881821ed8","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Fournisseur de solutions analytiques basées sur IA pour optimiser la consommation énergétique et réduire l’empreinte carbone des entreprises industrielles.","Québec City","[]","CA","QC","[]","IMPORT","https://greenbyteanalytics.qc.ca","[""Analyse de données"", ""Cleantech"", ""Optimisation énergétique""]","Données & Cleantech","75","KB_QC_ENRICHMENT_2026","QC_OTHER","[]","[]","QC_OTHER","","https://greenbyteanalytics.qc.ca","company","[]","0.77","Technologies & IA","[""analytics"", ""cleantech""]","[""Technologies & IA"", ""Cleantech"", ""Données""]","greenbyteanalytics.qc.ca","GreenByte Analytics","greenbyte analytics","2d9ed22bb234495ebed825fc","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup développant des outils de réalité virtuelle pour la visualisation immersive de propriétés immobilières à distance.","Saint-Laurent","[]","CA","QC","[]","IMPORT","https://proplensvr.com","[""Immobilier"", ""Réalité virtuelle"", ""Visualisation 3D""]","Proptech & AR/VR","77","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://proplensvr.com","company","[]","0.8","Technologies & IA","[""startup"", ""proptech"", ""VR""]","[""Technologies & IA"", ""Proptech"", ""AR/VR""]","proplensvr.com","PropLens VR","proplens vr","51fb4508ff184b1a89090f06","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise proposant des solutions d’intelligence artificielle pour automatiser les processus d’assurance et améliorer la gestion des risques.","Longueuil","[]","CA","QC","[]","IMPORT","https://insurexpert.ai","[""Assurance"", ""Automatisation"", ""Analyse prédictive""]","Insurtech & IA","79","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://insurexpert.ai","company","[]","0.82","Technologies & IA","[""insurtech"", ""startup"", ""IA""]","[""Technologies & IA"", ""Insurtech"", ""IA""]","insurexpert.ai","InsureXpert AI","insurexpert ai","d970f3704c6d4d69a3e69172","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise de taille moyenne fournissant des solutions avancées de cybersécurité pour les PME et les institutions gouvernementales.","Laval","[]","CA","QC","[]","IMPORT","https://clearshieldcyber.ca","[""cybersécurité"", ""protection de données"", ""cloud""]","cybersécurité","78","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://clearshieldcyber.ca","company","[]","0.9","Technologies & IA","[]","[""Technologies & IA"", ""cybersécurité""]","clearshieldcyber.ca","ClearShield Cybersecurity","clearshield cybersecurity","d4323979a10b451d87cd3233","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup innovante développant des plateformes SaaS basées sur l'IA pour personnaliser l'apprentissage dans les écoles et universités.","Longueuil","[]","CA","QC","[]","IMPORT","https://eduflexsolutions.qc.ca","[""edtech"", ""logiciels éducatifs"", ""IA""]","edtech","75","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://eduflexsolutions.qc.ca","company","[]","0.8","Technologies & IA","[]","[""Technologies & IA"", ""edtech"", ""SaaS""]","eduflexsolutions.qc.ca","EduFlex Solutions","eduflex solutions","d8486f3d6e32462b930e51ac","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Scale-up spécialisée dans les technologies IoT appliquées à la gestion immobilière intelligente et l'automatisation des bâtiments.","Saint-Laurent","[]","CA","QC","[]","IMPORT","https://proptechinnovate.com","[""proptech"", ""IoT"", ""automatisation""]","proptech","77","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://proptechinnovate.com","company","[]","0.78","Technologies & IA","[]","[""Technologies & IA"", ""proptech"", ""IoT""]","proptechinnovate.com","PropTech Innovate","proptech innovate","25965a11763446df88f40132","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"NexaCyber Solutions développe des plateformes avancées de cybersécurité basées sur l'IA pour protéger les PME et grandes entreprises.","Montréal","[]","CA","QC","[]","IMPORT","https://nexacyber.com","[""cybersécurité"", ""cloud"", ""IA""]","cybersécurité","80","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://nexacyber.com","company","[]","0.85","Technologies & IA","[]","[""Technologies & IA"", ""cybersécurité"", ""cloud""]","nexacyber.com","NexaCyber Solutions","nexacyber solutions","7fc32a5528544ddfb799f8ad","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"InnovEdu Tech crée des solutions SaaS d'apprentissage adaptatif intégrant l'IA pour améliorer l'expérience éducative en milieu scolaire.","Laval","[]","CA","QC","[]","IMPORT","https://innovedutech.ca","[""edtech"", ""apprentissage adaptatif"", ""IA""]","edtech","75","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://innovedutech.ca","company","[]","0.78","Technologies & IA","[]","[""Technologies & IA"", ""edtech"", ""SaaS""]","innovedutech.ca","InnovEdu Tech","innovedu tech","b2a7a842aa2c4a24854855f3","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"GreenGrid Analytics fournit des analyses de données avancées pour optimiser la gestion énergétique et environnementale des infrastructures.","Québec City","[]","CA","QC","[]","IMPORT","https://greengridanalytics.qc.ca","[""cleantech"", ""analyse de données"", ""durabilité""]","cleantech","78","KB_QC_ENRICHMENT_2026","QC_OTHER","[]","[]","QC_OTHER","","https://greengridanalytics.qc.ca","company","[]","0.8","Technologies & IA","[]","[""Technologies & IA"", ""cleantech"", ""données""]","greengridanalytics.qc.ca","GreenGrid Analytics","greengrid analytics","401fca6718894dacb0b3a4cb","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Voxel Robotics conçoit et fabrique des robots intelligents pour l'automatisation industrielle et la logistique au Québec.","Saint-Laurent","[]","CA","QC","[]","IMPORT","https://voxelrobotics.com","[""robotique"", ""automatisation industrielle"", ""IA""]","robotique","80","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://voxelrobotics.com","company","[]","0.82","Technologies & IA","[]","[""Technologies & IA"", ""robotique"", ""automatisation""]","voxelrobotics.com","Voxel Robotics","voxel robotics","aa4b8b76d2694cadab328a8e","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"ChainTrust Technologies développe des solutions blockchain sécurisées pour la gestion des transactions financières et la traçabilité des actifs.","Longueuil","[]","CA","QC","[]","IMPORT","https://chaintrust.tech","[""blockchain"", ""sécurité des transactions"", ""fintech""]","blockchain","76","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://chaintrust.tech","company","[]","0.77","Technologies & IA","[]","[""Technologies & IA"", ""blockchain"", ""fintech""]","chaintrust.tech","ChainTrust Technologies","chaintrust technologies","0679ba0f5048490e9cb61cc8","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise spécialisée dans la sécurisation des infrastructures cloud pour les PME, offrant des solutions de cybersécurité avancées et automatisées.","Laval","[]","CA","QC","[]","IMPORT","https://securecloudquebec.com","[""Cybersécurité"", ""Cloud Computing"", ""SaaS""]","Cybersécurité","78","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://securecloudquebec.com","company","[]","0.8","Technologies & IA","[""scaleup"", ""cloud security""]","[""Technologies & IA"", ""Cybersécurité"", ""Cloud""]","securecloudquebec.com","SecureCloud Quebec","securecloud quebec","6b68fd2a6c8645c6b692a5a6","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup développant une plateforme blockchain pour optimiser la gestion intelligente et durable des réseaux énergétiques propres.","Québec City","[]","CA","QC","[]","IMPORT","https://greenbloctech.ca","[""Cleantech"", ""Blockchain"", ""Smart Grid""]","Cleantech","76","KB_QC_ENRICHMENT_2026","QC_OTHER","[]","[]","QC_OTHER","","https://greenbloctech.ca","company","[]","0.77","Technologies & IA","[""startup"", ""environment""]","[""Technologies & IA"", ""Cleantech"", ""Blockchain""]","greenbloctech.ca","GreenBloc Technologies","greenbloc technologies","68ed36721dc74064b299cda8","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Startup proposant une plateforme éducative basée sur l'intelligence artificielle pour personnaliser l'apprentissage et améliorer les résultats scolaires.","Montréal","[]","CA","QC","[]","IMPORT","https://eduflexai.com","[""EdTech"", ""Adaptive Learning"", ""IA""]","EdTech","79","KB_QC_ENRICHMENT_2026","MTL","[]","[]","MTL_CMM","","https://eduflexai.com","company","[]","0.8","Technologies & IA","[""startup"", ""education""]","[""Technologies & IA"", ""EdTech"", ""Intelligence Artificielle""]","eduflexai.com","EduFlex AI","eduflex ai","24b2b1320d324643bb5d2b84","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
"Entreprise développant des robots autonomes pour l'agriculture de précision afin d'automatiser la récolte et optimiser les rendements agricoles.","Saint-Hyacinthe","[]","CA","QC","[]","IMPORT","https://roboharvestsolutions.qc.ca","[""Robotique"", ""Agriculture de précision"", ""Automatisation""]","Robotique","81","KB_QC_ENRICHMENT_2026","QC_OTHER","[]","[]","QC_OTHER","","https://roboharvestsolutions.qc.ca","company","[]","0.82","Technologies & IA","[""scaleup"", ""agriculture""]","[""Technologies & IA"", ""Robotique"", ""Agritech""]","roboharvestsolutions.qc.ca","RoboHarvest Solutions","roboharvest solutions","44ecc37ca84b45628b622db2","2026-03-02T01:19:30.000000","2026-03-02T01:19:30.000000","kb_enrichment_2026","kb_enrichment_2026@manus.ai","false"
